Student_ID,Sessions_Attended,Attendance_Percentage,Certified
312,20,50.0,0
313,31,77.5,0
314,22,55.00000000000001,0
315,32,80.0,1
316,2,5.0,0
317,17,42.5,0
318,24,60.0,0
319,30,75.0,0
320,2,5.0,0
321,39,97.5,1
322,23,57.49999999999999,0
323,31,77.5,0
324,21,52.5,0
325,22,55.00000000000001,0
326,1,2.5,0
327,26,65.0,0
328,1,2.5,0
329,25,62.5,0
330,16,40.0,0
331,39,97.5,1
332,32,80.0,1
333,8,20.0,0
334,38,95.0,1
335,28,70.0,0
336,25,62.5,0
337,34,85.0,1
338,24,60.0,0
339,23,57.49999999999999,0
340,12,30.0,0
341,6,15.0,0
342,35,87.5,1
343,19,47.5,0
344,0,0.0,0
345,7,17.5,0
346,15,37.5,0
347,13,32.5,0
348,11,27.500000000000004,0
349,22,55.00000000000001,0
350,14,35.0,0
351,27,67.5,0
352,33,82.5,1
353,1,2.5,0
354,31,77.5,0
355,22,55.00000000000001,0
356,21,52.5,0
357,24,60.0,0
358,21,52.5,0
359,21,52.5,0
360,5,12.5,0
361,14,35.0,0
362,36,90.0,1
363,32,80.0,1
364,7,17.5,0
365,4,10.0,0
366,38,95.0,1
367,3,7.5,0
368,5,12.5,0
369,31,77.5,0
370,29,72.5,0
371,34,85.0,1
372,39,97.5,1
373,15,37.5,0
374,12,30.0,0
375,29,72.5,0
376,18,45.0,0
377,16,40.0,0
378,18,45.0,0
379,27,67.5,0
380,25,62.5,0
381,36,90.0,1
382,25,62.5,0
383,22,55.00000000000001,0
384,8,20.0,0
385,11,27.500000000000004,0
386,0,0.0,0
387,0,0.0,0
388,33,82.5,1
389,31,77.5,0
390,24,60.0,0
391,39,97.5,1
392,0,0.0,0
393,15,37.5,0
394,38,95.0,1
395,4,10.0,0
396,21,52.5,0
397,28,70.0,0
398,2,5.0,0
399,11,27.500000000000004,0
400,25,62.5,0
401,15,37.5,0
402,36,90.0,1
403,21,52.5,0
404,28,70.0,0
405,13,32.5,0
406,27,67.5,0
407,4,10.0,0
408,29,72.5,0
409,4,10.0,0
410,11,27.500000000000004,0
411,15,37.5,0
412,25,62.5,0
413,25,62.5,0
414,20,50.0,0
415,38,95.0,1
416,35,87.5,1
417,32,80.0,1
418,29,72.5,0
419,36,90.0,1
420,22,55.00000000000001,0
421,9,22.5,0
422,4,10.0,0
423,35,87.5,1
424,33,82.5,1
425,30,75.0,0
426,9,22.5,0
427,18,45.0,0
428,31,77.5,0
429,0,0.0,0
430,4,10.0,0
431,3,7.5,0
432,15,37.5,0
433,23,57.49999999999999,0
434,15,37.5,0
435,1,2.5,0
436,27,67.5,0
437,31,77.5,0
438,26,65.0,0
439,19,47.5,0
440,23,57.49999999999999,0
441,11,27.500000000000004,0
442,34,85.0,1
443,32,80.0,1
444,32,80.0,1
445,36,90.0,1
446,11,27.500000000000004,0
447,2,5.0,0
448,0,0.0,0
449,32,80.0,1
450,39,97.5,1
451,9,22.5,0
452,28,70.0,0
453,12,30.0,0
454,11,27.500000000000004,0
455,30,75.0,0
456,1,2.5,0
457,34,85.0,1
458,22,55.00000000000001,0
459,16,40.0,0
460,25,62.5,0
461,7,17.5,0
462,28,70.0,0
463,25,62.5,0
464,9,22.5,0
465,25,62.5,0
466,33,82.5,1
467,40,100.0,1
468,6,15.0,0
469,3,7.5,0
470,10,25.0,0
471,28,70.0,0
472,35,87.5,1
473,24,60.0,0
474,20,50.0,0
475,35,87.5,1
476,9,22.5,0
477,36,90.0,1
478,8,20.0,0
479,23,57.49999999999999,0
480,34,85.0,1
481,34,85.0,1
482,35,87.5,1
483,17,42.5,0
484,38,95.0,1
485,31,77.5,0
486,23,57.49999999999999,0
487,22,55.00000000000001,0
488,31,77.5,0
489,36,90.0,1
490,11,27.500000000000004,0
491,12,30.0,0
492,22,55.00000000000001,0
493,24,60.0,0
494,34,85.0,1
495,40,100.0,1
496,29,72.5,0
497,16,40.0,0
498,19,47.5,0
499,24,60.0,0
500,21,52.5,0
501,12,30.0,0
502,18,45.0,0
503,35,87.5,1
504,11,27.500000000000004,0
505,40,100.0,1
506,18,45.0,0
507,11,27.500000000000004,0
508,8,20.0,0
509,6,15.0,0
510,27,67.5,0
511,13,32.5,0
512,30,75.0,0
513,18,45.0,0
514,15,37.5,0
515,4,10.0,0
516,34,85.0,1
517,11,27.500000000000004,0
518,24,60.0,0
519,20,50.0,0
520,35,87.5,1
521,22,55.00000000000001,0
522,15,37.5,0
523,38,95.0,1
524,38,95.0,1
525,13,32.5,0
526,30,75.0,0
527,4,10.0,0
528,34,85.0,1
529,22,55.00000000000001,0
530,28,70.0,0
531,10,25.0,0
532,17,42.5,0
533,11,27.500000000000004,0
534,8,20.0,0
535,9,22.5,0
536,16,40.0,0
537,37,92.5,1
538,6,15.0,0
539,12,30.0,0
540,39,97.5,1
541,8,20.0,0
542,26,65.0,0
543,1,2.5,0
544,4,10.0,0
545,28,70.0,0
546,36,90.0,1
547,37,92.5,1
548,18,45.0,0
549,7,17.5,0
550,0,0.0,0
551,21,52.5,0
552,16,40.0,0
553,6,15.0,0
554,24,60.0,0
555,3,7.5,0
556,35,87.5,1
557,5,12.5,0
558,30,75.0,0
559,18,45.0,0
560,38,95.0,1
561,26,65.0,0
562,9,22.5,0
563,25,62.5,0
564,18,45.0,0
565,38,95.0,1
566,2,5.0,0
567,12,30.0,0
568,27,67.5,0
569,19,47.5,0
570,27,67.5,0
571,7,17.5,0
572,40,100.0,1
573,38,95.0,1
574,0,0.0,0
575,2,5.0,0
576,12,30.0,0
577,27,67.5,0
578,24,60.0,0
579,32,80.0,1
580,37,92.5,1
581,5,12.5,0
582,31,77.5,0
583,20,50.0,0
584,15,37.5,0
585,20,50.0,0
586,10,25.0,0
587,36,90.0,1
588,35,87.5,1
589,34,85.0,1
590,18,45.0,0
591,19,47.5,0
592,17,42.5,0
593,40,100.0,1
594,13,32.5,0
595,14,35.0,0
596,30,75.0,0
597,0,0.0,0
598,2,5.0,0
599,15,37.5,0
600,22,55.00000000000001,0
601,10,25.0,0
602,11,27.500000000000004,0
603,9,22.5,0
604,31,77.5,0
605,15,37.5,0
606,7,17.5,0
607,37,92.5,1
608,11,27.500000000000004,0
609,23,57.49999999999999,0
610,27,67.5,0
611,7,17.5,0
612,27,67.5,0
613,35,87.5,1
614,25,62.5,0
615,7,17.5,0
616,27,67.5,0
617,27,67.5,0
618,36,90.0,1
619,40,100.0,1
620,35,87.5,1
621,26,65.0,0
622,16,40.0,0
623,8,20.0,0
624,32,80.0,1
625,19,47.5,0
626,12,30.0,0
627,27,67.5,0
628,28,70.0,0
629,12,30.0,0
630,34,85.0,1
631,5,12.5,0
632,17,42.5,0
633,4,10.0,0
634,24,60.0,0
635,1,2.5,0
636,9,22.5,0
637,29,72.5,0
638,4,10.0,0
639,32,80.0,1
640,0,0.0,0
641,17,42.5,0
642,31,77.5,0
643,10,25.0,0
644,20,50.0,0
645,25,62.5,0
646,24,60.0,0
647,21,52.5,0
648,26,65.0,0
649,12,30.0,0
650,32,80.0,1
651,33,82.5,1
652,40,100.0,1
653,34,85.0,1
654,0,0.0,0
655,20,50.0,0
656,5,12.5,0
657,27,67.5,0
658,16,40.0,0
659,4,10.0,0
660,30,75.0,0
661,4,10.0,0
662,37,92.5,1
663,2,5.0,0
664,22,55.00000000000001,0
665,36,90.0,1
666,36,90.0,1
667,9,22.5,0
668,9,22.5,0
669,18,45.0,0
670,16,40.0,0
671,20,50.0,0
672,13,32.5,0
673,8,20.0,0
674,0,0.0,0
675,12,30.0,0
676,3,7.5,0
677,0,0.0,0
678,39,97.5,1
679,31,77.5,0
680,33,82.5,1
681,27,67.5,0
682,30,75.0,0
683,7,17.5,0
684,38,95.0,1
685,25,62.5,0
686,33,82.5,1
687,2,5.0,0
688,11,27.500000000000004,0
689,0,0.0,0
690,4,10.0,0
691,29,72.5,0
692,29,72.5,0
693,16,40.0,0
694,22,55.00000000000001,0
695,14,35.0,0
696,36,90.0,1
697,20,50.0,0
698,13,32.5,0
699,1,2.5,0
700,10,25.0,0
701,38,95.0,1
702,37,92.5,1
703,33,82.5,1
704,37,92.5,1
705,33,82.5,1
706,17,42.5,0
707,29,72.5,0
708,14,35.0,0
709,26,65.0,0
710,33,82.5,1
711,37,92.5,1
712,32,80.0,1
713,23,57.49999999999999,0
714,14,35.0,0
715,29,72.5,0
716,16,40.0,0
717,4,10.0,0
718,28,70.0,0
719,3,7.5,0
720,9,22.5,0
721,16,40.0,0
722,9,22.5,0
723,16,40.0,0
724,19,47.5,0
725,23,57.49999999999999,0
726,4,10.0,0
727,33,82.5,1
728,5,12.5,0
729,1,2.5,0
730,12,30.0,0
731,10,25.0,0
732,22,55.00000000000001,0
733,15,37.5,0
734,30,75.0,0
735,10,25.0,0
736,15,37.5,0
737,7,17.5,0
738,3,7.5,0
739,39,97.5,1
740,3,7.5,0
741,24,60.0,0
742,2,5.0,0
743,31,77.5,0
744,2,5.0,0
745,26,65.0,0
746,28,70.0,0
747,31,77.5,0
748,18,45.0,0
749,20,50.0,0
750,4,10.0,0
751,17,42.5,0
752,27,67.5,0
753,21,52.5,0
754,20,50.0,0
755,5,12.5,0
756,0,0.0,0
757,4,10.0,0
758,40,100.0,1
759,11,27.500000000000004,0
760,25,62.5,0
761,33,82.5,1
762,13,32.5,0
763,25,62.5,0
764,26,65.0,0
765,8,20.0,0
766,25,62.5,0
767,21,52.5,0
768,29,72.5,0
769,16,40.0,0
770,25,62.5,0
771,35,87.5,1
772,0,0.0,0
773,7,17.5,0
774,34,85.0,1
775,14,35.0,0
776,21,52.5,0
777,13,32.5,0
778,25,62.5,0
779,27,67.5,0
780,22,55.00000000000001,0
781,13,32.5,0
782,23,57.49999999999999,0
783,1,2.5,0
784,25,62.5,0
785,13,32.5,0
786,6,15.0,0
787,2,5.0,0
788,22,55.00000000000001,0
789,17,42.5,0
790,37,92.5,1
791,34,85.0,1
792,14,35.0,0
793,24,60.0,0
794,36,90.0,1
795,27,67.5,0
796,9,22.5,0
797,38,95.0,1
798,16,40.0,0
799,38,95.0,1
800,21,52.5,0
801,25,62.5,0
802,24,60.0,0
803,16,40.0,0
804,12,30.0,0
805,19,47.5,0
806,24,60.0,0
807,3,7.5,0
808,9,22.5,0
809,2,5.0,0
810,40,100.0,1
811,17,42.5,0
812,35,87.5,1
813,21,52.5,0
814,33,82.5,1
815,7,17.5,0
816,39,97.5,1
817,18,45.0,0
818,40,100.0,1
819,36,90.0,1
820,5,12.5,0
821,25,62.5,0
822,33,82.5,1
823,5,12.5,0
824,36,90.0,1
825,32,80.0,1
826,21,52.5,0
827,20,50.0,0
828,5,12.5,0
829,5,12.5,0
830,3,7.5,0
831,29,72.5,0
832,10,25.0,0
833,29,72.5,0
834,30,75.0,0
835,23,57.49999999999999,0
836,8,20.0,0
837,2,5.0,0
838,30,75.0,0
839,39,97.5,1
840,36,90.0,1
841,35,87.5,1
842,23,57.49999999999999,0
843,30,75.0,0
844,5,12.5,0
845,1,2.5,0
846,19,47.5,0
847,27,67.5,0
848,10,25.0,0
849,3,7.5,0
850,14,35.0,0
851,5,12.5,0
852,29,72.5,0
853,37,92.5,1
854,1,2.5,0
855,14,35.0,0
856,10,25.0,0
857,7,17.5,0
858,25,62.5,0
859,4,10.0,0
860,5,12.5,0
861,25,62.5,0
862,3,7.5,0
863,18,45.0,0
864,19,47.5,0
865,32,80.0,1
866,19,47.5,0
867,11,27.500000000000004,0
868,0,0.0,0
869,25,62.5,0
870,13,32.5,0
871,37,92.5,1
872,36,90.0,1
873,10,25.0,0
874,35,87.5,1
875,12,30.0,0
876,2,5.0,0
877,32,80.0,1
878,5,12.5,0
879,9,22.5,0
880,4,10.0,0
881,22,55.00000000000001,0
882,9,22.5,0
883,1,2.5,0
884,12,30.0,0
885,39,97.5,1
886,1,2.5,0
887,19,47.5,0
888,0,0.0,0
889,36,90.0,1
890,8,20.0,0
891,16,40.0,0
892,8,20.0,0
893,10,25.0,0
894,14,35.0,0
895,23,57.49999999999999,0
896,37,92.5,1
897,34,85.0,1
898,29,72.5,0
899,30,75.0,0
900,4,10.0,0
901,13,32.5,0
902,10,25.0,0
903,8,20.0,0
904,33,82.5,1
905,11,27.500000000000004,0
906,34,85.0,1
907,34,85.0,1
908,0,0.0,0
909,39,97.5,1
910,21,52.5,0
911,28,70.0,0
912,7,17.5,0
913,10,25.0,0
914,40,100.0,1
915,36,90.0,1
916,13,32.5,0
917,29,72.5,0
918,34,85.0,1
919,20,50.0,0
920,36,90.0,1
921,4,10.0,0
922,18,45.0,0
923,13,32.5,0
924,25,62.5,0
925,3,7.5,0
926,24,60.0,0
927,24,60.0,0
928,17,42.5,0
929,39,97.5,1
930,7,17.5,0
931,38,95.0,1
932,39,97.5,1
933,13,32.5,0
934,31,77.5,0
935,37,92.5,1
936,32,80.0,1
937,22,55.00000000000001,0
938,14,35.0,0
939,32,80.0,1
940,24,60.0,0
941,16,40.0,0
942,32,80.0,1
943,1,2.5,0
944,13,32.5,0
945,39,97.5,1
946,39,97.5,1
947,38,95.0,1
948,5,12.5,0
949,5,12.5,0
950,2,5.0,0
951,6,15.0,0
952,7,17.5,0
953,14,35.0,0
954,28,70.0,0
955,32,80.0,1
956,29,72.5,0
957,38,95.0,1
958,26,65.0,0
959,35,87.5,1
960,28,70.0,0
961,37,92.5,1
962,32,80.0,1
963,36,90.0,1
964,26,65.0,0
965,32,80.0,1
966,3,7.5,0
967,21,52.5,0
968,1,2.5,0
969,9,22.5,0
970,4,10.0,0
971,9,22.5,0
972,32,80.0,1
973,37,92.5,1
974,12,30.0,0
975,30,75.0,0
976,35,87.5,1
977,23,57.49999999999999,0
978,14,35.0,0
979,28,70.0,0
980,7,17.5,0
